,On_Shore_Mean,Off_Shore_Mean,Difference_Mean,On_Shore_Var,Off_Shore_Var,Difference_Var,On_Shore_Skew,Off_Shore_Skew,Difference_Skew,On_Shore_Kurt,Off_Shore_Kurt,Difference_Kurt
WS1,5.430561815484616,7.293051346780726,1.8624895312961103,6.983112975686002,19.946545899642867,12.963432923956866,0.9687332930084996,0.8815846848462061,-0.08714860816229353,1.3794250085724902,0.24166971902023793,-1.1377552895522522
WS2,5.29757772306911,7.150045121443157,1.8524673983740474,7.199398443133495,17.93545558588065,10.736057142747155,0.8912376277515609,0.8379490560250697,-0.05328857172649115,1.0196342400573006,0.18196472750762993,-0.8376695125496707
WS3,5.671465391534857,7.6084805274380845,1.937015135903227,7.383187779521516,21.664832419087602,14.281644639566085,0.9118090426324815,0.887351734803018,-0.024457307829463537,1.2733269137942558,0.2732159763831139,-1.0001109374111419
WS4,5.574697503392924,7.540549471826744,1.96585196843382,7.731213844797409,19.65480449824488,11.92359065344747,0.851108175815588,0.8345325779839626,-0.01657559783162532,0.9851101748559605,0.19459725595931143,-0.7905129188966491
WS5,5.915219802417677,7.968316511850222,2.0530967094325456,7.8815623986269125,23.97238466712183,16.090822268494918,0.8690917707954677,0.8974087658760777,0.02831699508060992,1.210908757185798,0.299282137144802,-0.9116266200409959
WS6,5.790321528895625,7.942166270434519,2.151844741538894,8.27954514214972,22.008787406225924,13.729242264076204,0.8078440576733449,0.8397541402929709,0.03191008261962602,0.8940876837377725,0.21036914650834282,-0.6837185372294297
WS7,6.245974781428584,8.385025072914972,2.139050291486388,8.84132749330382,26.3216084186116,17.48028092530778,0.8117542019081644,0.8628315919697754,0.05107739006161105,1.1377145204272554,0.2077835433833637,-0.9299309770438917
WS8,6.07608155793323,8.288177348594424,2.212095790661194,9.161719928579465,23.654370951291778,14.492651022712312,0.7678380725504431,0.8058794680669784,0.03804139551653529,0.7794996198588038,0.12288955020737946,-0.6566100696514243
WS9,6.624429378531088,8.923036886350856,2.298607507819767,10.359887814933684,29.534822984006883,19.1749351690732,0.7310723965328773,0.8164179750560473,0.08534557852317004,0.8218208652239989,0.09512802979804613,-0.7266928354259528
WS10,6.517885774705656,8.800011666380732,2.2821258916750757,10.863673398700234,26.28545016706989,15.421776768369655,0.7248350390607134,0.7359687758982062,0.011133736837492747,0.5890426120760681,-0.06239782151961615,-0.6514404335956843
WS11,6.874999715935953,9.36015058454459,2.4851508686086365,11.614111942080648,31.544793943402215,19.930682001321568,0.6898030634056106,0.7672708757833258,0.07746781237771516,0.5956201402341645,-0.0011127394193919393,-0.5967328796535565
WS12,6.87556557144205,9.232764638121552,2.3571990666795015,11.814662253346702,29.930800870069014,18.11613861672231,0.6698992694657354,0.7609654214454534,0.09106615197971801,0.45362693714616364,-0.009986481754460375,-0.463613418900624
WD1,78.23116497806394,253.60275483444033,175.37158985637637,2307.2330960072136,2236.0641041754097,-71.16899183180385,1.7235124754068563,0.06898427822109149,-1.6545281971857648,8.346778340026958,0.9870570933293408,-7.359721246697617
WD2,77.66196382918284,247.4712629592412,169.80929913005835,1540.561821621426,2860.871337152488,1320.3095155310623,0.3785756373379424,-0.6142840568621065,-0.9928596942000489,1.2465499754022829,3.3684260342644765,2.1218760588621937
WD3,79.35971972351103,255.16445675351093,175.8047370299999,1720.1979443948035,2560.664570960375,840.4666265655715,0.2225509092659257,-0.6711345646166766,-0.8936854738826023,0.011060819774953323,3.9226686383669986,3.9116078185920453
WD4,77.91225578385885,244.76672140388715,166.8544656200283,2928.6528019406037,2355.532736625505,-573.1200653150986,2.5454591680715706,0.38129409190900443,-2.164165076162566,11.277030868855189,-0.009946238603017576,-11.286977107458206
WD5,79.15244768487833,255.24972427146395,176.09727658658562,2113.1655096799727,2156.6420235146825,43.47651383470975,1.1596328707934147,0.17812054195074795,-0.9815123288426668,5.46536334364335,0.6953840216676705,-4.769979321975679
WD6,79.1896916327368,249.36347148354207,170.17377985080526,1558.0826953250332,2731.467934262345,1173.3852389373117,0.07886267068925265,-0.5344343779588636,-0.6132970486481163,-0.7197619911512199,3.3561051909802555,4.075867182131475
WD7,82.7262885459079,253.81750447292958,171.09121592702166,3067.0810041744808,2044.5464984880184,-1022.5345056864624,1.9915312887822612,0.41443124971507955,-1.5771000390671817,8.104756125260122,-0.08214582694401695,-8.186901952204138
WD8,80.3389199255121,250.42753854072205,170.08861861520995,1669.1558827675212,2547.2630396494196,878.1071568818984,0.14709763190622677,-0.299534297329906,-0.44663192923613276,-0.4956286461620789,2.7270970099854632,3.222725656147542
WD9,86.13467790297636,256.05061150462,169.91593360164364,3022.8594889649985,2049.6046688049173,-973.2548201600812,1.5842182883613534,0.2052479022428982,-1.3789703861184552,5.819813512433376,0.9217808493162583,-4.898032663117117
WD10,83.38193984155541,251.4105291536972,168.0285893121418,2138.72088712763,2327.494696977419,188.77380984978936,0.8299262871723851,0.04935723307577035,-0.7805690540966148,2.8428989688454993,1.5792112386038553,-1.263687730241644
WD11,88.00795379225453,255.6540525967501,167.64609880449558,2650.5853795733615,2370.2733811863504,-280.31199838701104,0.9584953465993492,-0.5151762618111805,-1.4736716084105297,2.6821088580589403,3.924443883648564,1.2423350255896235
WD12,87.57134741028312,253.28393911913923,165.7125917088561,2570.3267934214755,2326.7881756202564,-243.53861780121906,1.0411569885171579,-0.25731849765810433,-1.298475486175262,3.148592630707831,2.696191140508238,-0.45240149019959297
AT0,7.879196098854276,6.953883728339935,-0.9253123705143409,50.165703314962286,22.100764582951655,-28.06493873201063,-0.4621902441147242,0.22485462487265073,0.6870448689873749,-0.40509573635738017,-0.3373298976043282,0.06776583875305198
AT1,7.590773600984729,6.892208524300867,-0.6985650766838623,40.59388979669975,17.864227021810336,-22.729662774889412,-0.5783865231035817,0.08121496956191937,0.6596014926655012,-0.3615591507059501,-0.6027183118521582,-0.24115916114620806
AT2,7.5966808698671855,6.836529251734067,-0.7601516181331185,41.32446647182169,18.262202858023045,-23.062263613798642,-0.574289670411218,0.08531266547175793,0.659602335882976,-0.357488490277345,-0.6284809042852539,-0.27099241400790897
AT3,7.606289492787803,6.796785127815516,-0.8095043649722866,41.67610484163873,18.333528956010067,-23.342575885628666,-0.5726241227753455,0.0859463269943453,0.6585704497696908,-0.3411317228237616,-0.6044333316334085,-0.2633016088096469
AT4,7.694142284505836,6.80571554618756,-0.8884267383182758,40.65514316541353,17.66510865035868,-22.990034515054848,-0.5551288017395207,0.0921513107283934,0.6472801124679142,-0.32832109908772367,-0.5622029264416901,-0.23388182735396645
AT5,7.533780260707616,6.470632827626776,-1.0631474330808395,43.50315097336515,18.546948849519772,-24.95620212384538,-0.5360967627856564,0.08288306874231215,0.6189798315279685,-0.30535983876922534,-0.5201048170282894,-0.21474497825906402
AT6,7.582967837641619,6.346329991911975,-1.2366378457296445,42.87572270797894,17.8209605846326,-25.054762123346336,-0.5034673025729555,0.11532312541492906,0.6187904279878845,-0.3095235836799679,-0.4588872869154623,-0.14936370323549442
class,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
